machine,limits,benchmark,lower_is_better,class,repetition,result
"192.168.140.82","quota-7111","stressng-cpu-phi",false,"cpu","rep-2",3915531.33235
"192.168.140.82","quota-7111","stressng-cpu-pi",false,"cpu","rep-2",218490.735611
"192.168.140.82","quota-7111","stressng-cpu-pjw",false,"cpu","rep-2",24025.42029
"192.168.140.82","quota-7111","stressng-cpu-prime",false,"cpu","rep-2",3.480376
"192.168.140.82","quota-7111","stressng-cpu-psi",false,"cpu","rep-2",895298.654933
"192.168.140.82","quota-7111","stressng-cpu-queens",false,"cpu","rep-2",33.674253
"192.168.140.82","quota-7111","stressng-cpu-rand",false,"cpu","rep-2",5202.799504
"192.168.140.82","quota-7111","stressng-cpu-rand48",false,"cpu","rep-2",1106.5062
"192.168.140.82","quota-7111","stressng-cpu-rgb",false,"cpu","rep-2",24691.430023
"192.168.140.82","quota-7111","stressng-cpu-sdbm",false,"cpu","rep-2",36015.716388
"192.168.140.82","quota-7111","stressng-cpu-sieve",false,"cpu","rep-2",9.911381
"192.168.140.82","quota-7111","stressng-cpu-sqrt",false,"cpu","rep-2",1855.382571
"192.168.140.82","quota-7111","stressng-cpu-trig",false,"cpu","rep-2",197.971925
"192.168.140.82","quota-7111","stressng-cpu-union",false,"cpu","rep-2",6397.015252
"192.168.140.82","quota-7111","stressng-cpu-zeta",false,"cpu","rep-2",133.985689
"192.168.140.82","quota-7111","stressng-matrix-add",false,"matrix","rep-2",50024.070551
"192.168.140.82","quota-7111","stressng-matrix-div",false,"matrix","rep-2",39677.342171
"192.168.140.82","quota-7111","stressng-matrix-frobenius",false,"matrix","rep-2",20333.893566
"192.168.140.82","quota-7111","stressng-matrix-mult",false,"matrix","rep-2",70811.830063
"192.168.140.82","quota-7111","stressng-matrix-prod",false,"matrix","rep-2",135.331507
"192.168.140.82","quota-7111","stressng-matrix-sub",false,"matrix","rep-2",50553.778423
"192.168.140.82","quota-7111","stressng-matrix-hadamard",false,"matrix","rep-2",50484.89095
"192.168.140.82","quota-7111","stressng-matrix-trans",false,"matrix","rep-2",20414.10659
"192.168.140.82","quota-7111","stressng-string-index",false,"string","rep-2",27405.345054
"192.168.140.82","quota-7111","stressng-string-rindex",false,"string","rep-2",16558.174613
"192.168.140.82","quota-7111","stressng-string-strcasecmp",false,"string","rep-2",10020.419112
"192.168.140.82","quota-7111","stressng-string-strcat",false,"string","rep-2",9730.633871
"192.168.140.82","quota-7111","stressng-string-strchr",false,"string","rep-2",27396.498631
"192.168.140.82","quota-7111","stressng-string-strcoll",false,"string","rep-2",10957.732918
"192.168.140.82","quota-7111","stressng-string-strcmp",false,"string","rep-2",13691.881936
"192.168.140.82","quota-7111","stressng-string-strcpy",false,"string","rep-2",30164.757535
"192.168.140.82","quota-7111","stressng-string-strlen",false,"string","rep-2",33467.940437
"192.168.140.82","quota-7111","stressng-string-strncasecmp",false,"string","rep-2",8447.905841
"192.168.140.82","quota-7111","stressng-string-strncat",false,"string","rep-2",7041.598489
"192.168.140.82","quota-7111","stressng-string-strncmp",false,"string","rep-2",10319.148467
"192.168.140.82","quota-7111","stressng-string-strrchr",false,"string","rep-2",18835.83378
"192.168.140.82","quota-7111","stressng-string-strxfrm",false,"string","rep-2",2136.867751
"192.168.140.82","quota-7111","stressng-cpu-af-alg",false,"cpu","rep-2",107157.539136
"192.168.140.82","quota-7111","stressng-cpu-bsearch",false,"cpu","rep-2",52.41627
"192.168.140.82","quota-7111","stressng-cpu-cpu",false,"cpu","rep-2",46.020327
"192.168.140.82","quota-7111","stressng-cpu-crypt",false,"cpu","rep-2",62.983549
"192.168.140.82","quota-7111","stressng-cpu-hsearch",false,"cpu","rep-2",1394.670838
"192.168.140.82","quota-7111","stressng-cpu-longjmp",false,"cpu","rep-2",42365.179788
"192.168.140.82","quota-7111","stressng-cpu-lsearch",false,"cpu","rep-2",2.500011
"192.168.140.82","quota-7111","stressng-cpu-numa",false,"cpu","rep-2",30.958557
"192.168.140.82","quota-7111","stressng-cpu-qsort",false,"cpu","rep-2",2.699991
"192.168.140.82","quota-7111","stressng-cpu-str",false,"cpu","rep-2",9661.832711
"192.168.140.82","quota-7111","stressng-cpu-stream",false,"cpu","rep-2",15.150177
"192.168.140.82","quota-7111","stressng-cpu-tsearch",false,"cpu","rep-2",6.734483
"192.168.140.82","quota-7111","stressng-cpu-vecmath",false,"cpu","rep-2",11173.408423
"192.168.140.82","quota-7111","stressng-cpu-wcs",false,"cpu","rep-2",4326.803095
"192.168.140.82","quota-7111","stressng-memory-context",false,"memory","rep-2",1506.107361
"192.168.140.82","quota-7111","stressng-memory-lockbus",false,"memory","rep-2",528204.391256
"192.168.140.82","quota-7111","stressng-memory-malloc",false,"memory","rep-2",11894.062829
"192.168.140.82","quota-7111","stressng-memory-matrix",false,"memory","rep-2",1316.239305
"192.168.140.82","quota-7111","stressng-memory-memcpy",false,"memory","rep-2",471.485904
"192.168.140.82","quota-7111","stressng-memory-memfd",false,"memory","rep-2",0.098153
"192.168.140.82","quota-7111","stressng-memory-mincore",false,"memory","rep-2",11630.819244
"192.168.140.82","quota-7111","stressng-memory-null",false,"memory","rep-2",1739953.23853
"192.168.140.82","quota-7111","stressng-memory-pipe",false,"memory","rep-2",80257.666376
"192.168.140.82","quota-7111","stressng-memory-str",false,"memory","rep-2",9703.494144
"192.168.140.82","quota-7111","stressng-memory-zero",false,"memory","rep-2",830056.829833
"192.168.140.82","quota-7111","stressng-cpu-cache-cache","cpu-cache","rep-2",24.600094
"192.168.140.82","quota-7111","stressng-cpu-cache-icache","cpu-cache","rep-2",1723.987916
"192.168.140.82","without","stressng-cpu-ackermann",false,"cpu","1",2.743028
"192.168.140.82","without","stressng-cpu-bitops",false,"cpu","1",2329.823567
"192.168.140.82","without","stressng-cpu-callfunc",false,"cpu","1",97235.873557
"192.168.140.82","without","stressng-cpu-cdouble",false,"cpu","1",5697.260065
"192.168.140.82","without","stressng-cpu-cfloat",false,"cpu","1",2478.96507
"192.168.140.82","without","stressng-cpu-clongdouble",false,"cpu","1",669.254158
"192.168.140.82","without","stressng-cpu-correlate",false,"cpu","1",39.924638
"192.168.140.82","without","stressng-cpu-crc16",false,"cpu","1",129.44302
"192.168.140.82","without","stressng-cpu-decimal32",false,"cpu","1",1396.141083
"192.168.140.82","without","stressng-cpu-decimal64",false,"cpu","1",1519.572176
"192.168.140.82","without","stressng-cpu-decimal128",false,"cpu","1",190.374546
"192.168.140.82","without","stressng-cpu-dither",false,"cpu","1",35.869769
"192.168.140.82","without","stressng-cpu-djb2a",false,"cpu","1",79399.057781
"192.168.140.82","without","stressng-cpu-double",false,"cpu","1",6312.670952
"192.168.140.82","without","stressng-cpu-euler",false,"cpu","1",5748398.45113
"192.168.140.82","without","stressng-cpu-explog",false,"cpu","1",115.019396
"192.168.140.82","without","stressng-cpu-fft",false,"cpu","1",336.856213
"192.168.140.82","without","stressng-cpu-fibonacci",false,"cpu","1",12945985.9928
"192.168.140.82","without","stressng-cpu-float",false,"cpu","1",34801.582973
"192.168.140.82","without","stressng-cpu-fnv1a",false,"cpu","1",72496.967912
"192.168.140.82","without","stressng-cpu-gamma",false,"cpu","1",86.770671
"192.168.140.82","without","stressng-cpu-gcd",false,"cpu","1",2487.71815
"192.168.140.82","without","stressng-cpu-gray",false,"cpu","1",20097.581792
"192.168.140.82","without","stressng-cpu-hamming",false,"cpu","1",482.060084
"192.168.140.82","without","stressng-cpu-hanoi",false,"cpu","1",91.926175
"192.168.140.82","without","stressng-cpu-hyperbolic",false,"cpu","1",625.71252
"192.168.140.82","without","stressng-cpu-idct",false,"cpu","1",22507.615562
"192.168.140.82","without","stressng-cpu-int128",false,"cpu","1",4843.825858
"192.168.140.82","without","stressng-cpu-int64",false,"cpu","1",33340.84372
"192.168.140.82","without","stressng-cpu-int32",false,"cpu","1",34263.399662
"192.168.140.82","without","stressng-cpu-int16",false,"cpu","1",31631.966367
"192.168.140.82","without","stressng-cpu-int8",false,"cpu","1",26162.275475
"192.168.140.82","without","stressng-cpu-int128float",false,"cpu","1",4669.041558
"192.168.140.82","without","stressng-cpu-int128double",false,"cpu","1",2824.798316
"192.168.140.82","without","stressng-cpu-int128longdouble",false,"cpu","1",565.586826
"192.168.140.82","without","stressng-cpu-int128decimal32",false,"cpu","1",1132.684796
"192.168.140.82","without","stressng-cpu-int128decimal64",false,"cpu","1",1128.044839
"192.168.140.82","without","stressng-cpu-int128decimal128",false,"cpu","1",182.927253
"192.168.140.82","without","stressng-cpu-int64float",false,"cpu","1",21227.917208
"192.168.140.82","without","stressng-cpu-int64double",false,"cpu","1",5648.679125
"192.168.140.82","without","stressng-cpu-int64longdouble",false,"cpu","1",606.599942
"192.168.140.82","without","stressng-cpu-int32float",false,"cpu","1",21999.92675
"192.168.140.82","without","stressng-cpu-int32double",false,"cpu","1",5704.21088
"192.168.140.82","without","stressng-cpu-int32longdouble",false,"cpu","1",607.285116
"192.168.140.82","without","stressng-cpu-jenkin",false,"cpu","1",27744.605176
"192.168.140.82","without","stressng-cpu-jmp",false,"cpu","1",33473.959856
"192.168.140.82","without","stressng-cpu-ln2",false,"cpu","1",25188.665459
"192.168.140.82","without","stressng-cpu-longdouble",false,"cpu","1",613.865694
"192.168.140.82","without","stressng-cpu-loop",false,"cpu","1",20099.08179
"192.168.140.82","without","stressng-cpu-matrixprod",false,"cpu","1",112.856731
"192.168.140.82","without","stressng-cpu-nsqrt",false,"cpu","1",128.877087
"192.168.140.82","without","stressng-cpu-omega",false,"cpu","1",1652679.80776
"192.168.140.82","without","stressng-cpu-parity",false,"cpu","1",4263.421121
"192.168.140.82","without","stressng-cpu-phi",false,"cpu","1",7352365.67176
"192.168.140.82","without","stressng-cpu-pi",false,"cpu","1",410871.579187
"192.168.140.82","without","stressng-cpu-pjw",false,"cpu","1",45052.812785
"192.168.140.82","without","stressng-cpu-prime",false,"cpu","1",6.516082
"192.168.140.82","without","stressng-cpu-psi",false,"cpu","1",1658047.99698
"192.168.140.82","without","stressng-cpu-queens",false,"cpu","1",63.250375
"192.168.140.82","without","stressng-cpu-rand",false,"cpu","1",9745.563056
"192.168.140.82","without","stressng-cpu-rand48",false,"cpu","1",2135.440228
"192.168.140.82","without","stressng-cpu-rgb",false,"cpu","1",46386.594646
"192.168.140.82","without","stressng-cpu-sdbm",false,"cpu","1",67005.16774
"192.168.140.82","without","stressng-cpu-sieve",false,"cpu","1",18.305791
"192.168.140.82","without","stressng-cpu-sqrt",false,"cpu","1",3459.400742
"192.168.140.82","without","stressng-cpu-trig",false,"cpu","1",374.46544
"192.168.140.82","without","stressng-cpu-union",false,"cpu","1",12018.680801
"192.168.140.82","without","stressng-cpu-zeta",false,"cpu","1",251.618227
"192.168.140.82","without","stressng-matrix-add",false,"matrix","1",93847.428912
"192.168.140.82","without","stressng-matrix-div",false,"matrix","1",75361.661149
"192.168.140.82","without","stressng-matrix-frobenius",false,"matrix","1",38187.579361
"192.168.140.82","without","stressng-matrix-mult",false,"matrix","1",132570.489913
"192.168.140.82","without","stressng-matrix-prod",false,"matrix","1",247.901212
"192.168.140.82","without","stressng-matrix-sub",false,"matrix","1",95256.513411
"192.168.140.82","without","stressng-matrix-hadamard",false,"matrix","1",96342.567518
"192.168.140.82","without","stressng-matrix-trans",false,"matrix","1",37242.044731
"192.168.140.82","without","stressng-string-index",false,"string","1",51860.486704
"192.168.140.82","without","stressng-string-rindex",false,"string","1",35703.939605
"192.168.140.82","without","stressng-string-strcasecmp",false,"string","1",19653.276846
"192.168.140.82","without","stressng-string-strcat",false,"string","1",18261.614368
"192.168.140.82","without","stressng-string-strchr",false,"string","1",51589.159898
"192.168.140.82","without","stressng-string-strcoll",false,"string","1",20555.196079
"192.168.140.82","without","stressng-string-strcmp",false,"string","1",26066.593843
"192.168.140.82","without","stressng-string-strcpy",false,"string","1",56672.99322
"192.168.140.82","without","stressng-string-strlen",false,"string","1",62212.316556
"192.168.140.82","without","stressng-string-strncasecmp",false,"string","1",17060.168333
"192.168.140.82","without","stressng-string-strncat",false,"string","1",13897.420874
"192.168.140.82","without","stressng-string-strncmp",false,"string","1",20049.342065
"192.168.140.82","without","stressng-string-strrchr",false,"string","1",35349.963211
"192.168.140.82","without","stressng-string-strxfrm",false,"string","1",3997.806767
"192.168.140.82","without","stressng-cpu-af-alg",false,"cpu","1",190232.046068
"192.168.140.82","without","stressng-cpu-bsearch",false,"cpu","1",100.70013
"192.168.140.82","without","stressng-cpu-cpu",false,"cpu","1",90.086587
"192.168.140.82","without","stressng-cpu-crypt",false,"cpu","1",119.236352
"192.168.140.82","without","stressng-cpu-hsearch",false,"cpu","1",2628.651617
