benchmark,base_result,machine,limits,lower_is_better,class,repetition,result,normalized
stressng-cpu-callfunc,51896.256564999996,192.168.140.86,quota-6352,false,cpu,rep-2,44248.060574,0.852625285574873
stressng-cpu-callfunc,51896.256564999996,192.168.140.86,without,false,cpu,1,125187.937273,2.412272976109602
stressng-cpu-callfunc,51896.256564999996,192.168.140.86,without,false,cpu,2,122700.06913699998,2.3643337161191638
stressng-cpu-callfunc,51896.256564999996,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-1,44689.432206,0.861130169379877
stressng-cpu-callfunc,51896.256564999996,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-2,43792.473655,0.8438464843827412
stressng-cpu-callfunc,51896.256564999996,clnode056.clemson.cloudlab.us,without,false,cpu,1,89223.782907,1.7192720402722559
stressng-cpu-callfunc,51896.256564999996,clnode056.clemson.cloudlab.us,without,false,cpu,2,86781.160697,1.6722046336484155
stressng-cpu-callfunc,51896.256564999996,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-1,57757.373507000004,1.1129391083277647
stressng-cpu-callfunc,51896.256564999996,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-2,58202.437289,1.1215151369560061
stressng-cpu-callfunc,51896.256564999996,dwill.soe.ucsc.edu,without,false,cpu,1,133710.11358900002,2.5764886032102963
stressng-cpu-callfunc,51896.256564999996,dwill.soe.ucsc.edu,without,false,cpu,2,134137.539857,2.58472477083184
stressng-cpu-callfunc,51896.256564999996,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-1,55597.38896900001,1.0713179070895864
stressng-cpu-callfunc,51896.256564999996,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-2,56790.920701999996,1.094316323777023
stressng-cpu-callfunc,51896.256564999996,nibbler.soe.ucsc.edu,without,false,cpu,1,126441.37983900002,2.4364258273741255
stressng-cpu-callfunc,51896.256564999996,nibbler.soe.ucsc.edu,without,false,cpu,2,117468.08929100001,2.2635175842379187
stressng-cpu-cdouble,3476.1429799999996,192.168.140.82,quota-7111,false,cpu,rep-1,3022.665841,0.8695458899104318
stressng-cpu-cdouble,3476.1429799999996,192.168.140.82,quota-7111,false,cpu,rep-2,3031.086342,0.871968258912066
stressng-cpu-cdouble,3476.1429799999996,192.168.140.82,without,false,cpu,1,5697.2600649999995,1.6389602205027827
stressng-cpu-cdouble,3476.1429799999996,192.168.140.82,without,false,cpu,2,5670.137003,1.6311575892082553
stressng-cpu-cdouble,3476.1429799999996,192.168.140.86,quota-6352,false,cpu,rep-1,2737.0417260000004,0.7873789259381963
stressng-cpu-cdouble,3476.1429799999996,192.168.140.86,quota-6352,false,cpu,rep-2,2698.692987,0.7763469461776857
stressng-cpu-cdouble,3476.1429799999996,192.168.140.86,without,false,cpu,1,7625.597818000001,2.193695098813226
stressng-cpu-cdouble,3476.1429799999996,192.168.140.86,without,false,cpu,2,7634.219111,2.1961752306862823
stressng-cpu-cdouble,3476.1429799999996,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-1,2734.3630359999997,0.7866083333545734
stressng-cpu-cdouble,3476.1429799999996,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-2,2734.6513609999997,0.7866912772960795
stressng-cpu-cdouble,3476.1429799999996,clnode056.clemson.cloudlab.us,without,false,cpu,1,5431.761407999999,1.5625828509505095
stressng-cpu-cdouble,3476.1429799999996,clnode056.clemson.cloudlab.us,without,false,cpu,2,5432.040814,1.5626632291172329
stressng-cpu-cdouble,3476.1429799999996,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-1,3192.280211,0.9183397315262332
stressng-cpu-cdouble,3476.1429799999996,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-2,3192.3952050000003,0.9183728124439808
stressng-cpu-cdouble,3476.1429799999996,dwill.soe.ucsc.edu,without,false,cpu,1,7394.414104,2.1271892860977775
stressng-cpu-cdouble,3476.1429799999996,dwill.soe.ucsc.edu,without,false,cpu,2,7394.507404999999,2.1272161264782037
stressng-cpu-cdouble,3476.1429799999996,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-1,3190.907303,0.9179447799929105
stressng-cpu-cdouble,3476.1429799999996,nibbler.soe.ucsc.edu,quota-7116,false,cpu,rep-2,3193.492386,0.9186884441675066
stressng-cpu-cdouble,3476.1429799999996,nibbler.soe.ucsc.edu,without,false,cpu,1,6498.734305,1.8695244535079512
stressng-cpu-cdouble,3476.1429799999996,nibbler.soe.ucsc.edu,without,false,cpu,2,6603.3157439999995,1.8996099360677046
stressng-cpu-cdouble,3519.1637539999997,192.168.140.82,quota-7111,false,cpu,rep-1,3022.665841,0.8589159392098014
stressng-cpu-cdouble,3519.1637539999997,192.168.140.82,quota-7111,false,cpu,rep-2,3031.086342,0.8613086954407181
stressng-cpu-cdouble,3519.1637539999997,192.168.140.82,without,false,cpu,1,5697.2600649999995,1.6189243988786548
stressng-cpu-cdouble,3519.1637539999997,192.168.140.82,without,false,cpu,2,5670.137003,1.611217152528106
stressng-cpu-cdouble,3519.1637539999997,192.168.140.86,quota-6352,false,cpu,rep-1,2737.0417260000004,0.7777534429561531
stressng-cpu-cdouble,3519.1637539999997,192.168.140.86,quota-6352,false,cpu,rep-2,2698.692987,0.7668563260043171
stressng-cpu-cdouble,3519.1637539999997,192.168.140.86,without,false,cpu,1,7625.597818000001,2.1668778013903136
stressng-cpu-cdouble,3519.1637539999997,192.168.140.86,without,false,cpu,2,7634.219111,2.1693276143580107
stressng-cpu-cdouble,3519.1637539999997,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-1,2734.3630359999997,0.7769922706472613
stressng-cpu-cdouble,3519.1637539999997,clnode056.clemson.cloudlab.us,quota-7009,false,cpu,rep-2,2734.6513609999997,0.7770742006227198
stressng-cpu-cdouble,3519.1637539999997,clnode056.clemson.cloudlab.us,without,false,cpu,1,5431.761407999999,1.5434807209031058
stressng-cpu-cdouble,3519.1637539999997,clnode056.clemson.cloudlab.us,without,false,cpu,2,5432.040814,1.543560116469647
stressng-cpu-cdouble,3519.1637539999997,dwill.soe.ucsc.edu,quota-5465,false,cpu,rep-1,3192.280211,0.9071132900171375
